# ID	英文	日文	简体中文	类型	消耗	物理威力	魔法威力	命中	目标范围	首个效果参数
382	Shattering Pursuit	クラックチェイス	崩溃追击	P	2	75	0	100	7	0.25
383	Snow-white Strike	白銀の魔弾	银色魔弹	P	1	75	0	100	1	0
384	Sanguine Pursuit	ブラッドチェイス	鲜血追击	P	1	100	0	100	1	0.5
385	Killing Pursuit	キリングチェイス	杀戮追击	P	1	75	0	100	1	1
386	Shadow Pursuit	シェイドチェイス	阴影追击	P	1	75	0	100	1	0
387	Healing Pursuit	チェイスヒール	追击疗愈	P	1	0	50	100	1	1.5
388	Healing Hunter	ヒールハント	疗愈猎杀	P	1	100	0	100	1	0.30000001192092896
389	Guard Hunter	ガードハント	格挡猎杀	P	1	0	100	100	1	0.30000001192092896
390	Wild Kick	ワイルドキック	狂野踢击	P	1	50	0	100	1	0
391	Weakness Hunter	ウィークハント	衰弱猎杀	P	2	100	0	100	1	0.5
392	Reflect Magick	マジックリフレクト	魔法反射	P	2	0	0	100	1	0
393	Quick Curse	クイックカース	迅速诅咒	P	1	0	0	100	1	0.20000000298023224
394	Cursed Gaol	カースドジェイル	诅咒牢狱	P	1	0	0	100	1	0.5
395	Shining Light	シャイニング	眩目	P	2	0	0	100	6	0
396	Preemptive Heal	ビフォアヒール	防患疗愈	P	2	0	100	100	1	0
397	Holy Breath	ホーリーブレス	神圣祝福	P	1	0	50	100	1	0
398	Sorcerous Connection	ソーサリーコネクト	巫术连结	P	1	0	0	100	1	0.5
399	Focus Sight	フォーカサイト	聚精会神	P	1	0	0	100	1	0
400	Sniping Order	スナイプオーダー	狙击号令	P	2	0	0	100	6	0
401	Keen Call	シャープエール	振奋呐喊	P	1	0	0	100	1	1
402	Powerful Call	パワーエール	力量呐喊	P	1	0	0	100	1	0.30000001192092896
403	Inspiration	チャンス	良机	P	1	0	0	100	1	0.30000001192092896
404	Wide Inspiration	ワイドチャンス	共夺良机	P	2	0	0	100	6	0.30000001192092896
405	Reinforce	リィンフォース	施以援手	P	4	0	0	100	1	1
406	Sylphic Barrier	シルフィードバリア	风灵屏障	P	1	0	0	100	1	0
407	Grant Evade	イヴェイドアタッチ	躲闪攻击	P	2	0	0	100	1	0
408	Quick Barrier	クイックバリア	迅速屏障	P	1	0	0	100	1	0.5
409	Protection	プロテクション	庇护	P	1	0	0	100	6	0.5
410	Circle Barrier	サークルバリア	环形屏障	P	2	0	0	100	5	0.25
411	Holy Barrier	ホワイトバリア	洁白屏障	P	1	0	0	100	1	0.5
412	Saint's Barrier	セイントバリア	圣洁屏障	P	1	0	0	100	1	0.5
413	Magick Barrier	マジックバリア	魔法屏障	P	1	0	0	100	1	0
414	Row Barrier	ラインバリア	阵线屏障	P	2	0	0	100	6	0
415	Mighty Shield	マイティシールド	强力护盾	P	2	0	0	100	1	0
416	Celestial Light	セレスティアルライト	天穹之光	P	1	0	0	100	5	0
417	Quick Cover	クイックカバー	迅速掩护	P	1	0	0	100	1	0
418	Heavy Cover	ヘヴィカバー	沉着掩护	P	1	0	0	100	1	0
419	Enduring Cover	エンデュランスカバー	坚毅掩护	P	2	0	0	100	1	0
420	Hastened Cover	ファストカバー	快速掩护	P	2	0	0	100	1	0
421	Row Cover	ラインカバー	阵线掩护	P	2	0	0	100	6	0
422	Arrow Cover	アローカバー	飞矢掩护	P	1	0	0	100	1	0
423	Radiant Cover	グロウカバー	暗光掩护	P	1	0	0	100	1	0
424	Luminous Cover	ルミナスカバー	荧光掩护	P	1	0	0	100	1	0
425	Healing Cover	エイドカバー	急救掩护	P	1	0	0	100	1	0
426	Advance Cover	アドバンスカバー	前进掩护	P	1	0	0	100	1	0
427	Evil Cover	イービルカバー	邪恶掩护	P	1	0	0	100	1	0
428	Sacrifice	サクリファイス	舍己为人	P	1	0	0	100	1	0
429	Guard Order	ガードオーダー	格挡号令	P	1	0	0	100	6	1
430	Magick Conferral	マジックセイバー	附魔剑刃	P	1	0	0	100	1	0
431	Flame Conferral	フレイムセイバー	烈火剑刃	P	2	0	0	100	1	0
432	Ice Conferral	アイスセイバー	冰霜剑刃	P	2	0	0	100	1	0
433	Thunderous Conferral	サンダーセイバー	雷霆剑刃	P	2	0	0	100	1	0
434	Sanguine Conferral	ブラッドセイバー	鲜血剑刃	P	2	0	0	100	1	50
435	Dark Conferral	ダークセイバー	暗黑剑刃	P	1	0	0	100	1	0
436	Toughness	タフネス	坚韧不拔	P	1	0	0	100	1	1
437	Lifesaver	ライフセーブ	自我救赎	P	1	0	50	100	1	1
438	Painbringer	ペインアクセル	痛之加速	P	1	0	0	100	1	1
439	Vengeance	リベンジャー	复仇者	P	1	0	0	100	1	0.20000000298023224
440	Nimble Fighter	インファイト	近身肉搏	P	1	0	0	100	1	0.20000000298023224
441	Guarding Fighter	ガードファイト	格挡肉搏	P	1	0	0	100	1	0.20000000298023224
442	Guardian	ガーディアン	铁卫	P	1	0	0	100	1	0.20000000298023224
443	Vengeful Impetus	リベンジアクト	复仇行进	P	1	0	0	100	1	1
444	Guarding Impetus	ガードアクト	格挡行进	P	1	0	0	100	1	1
445	Evasive Impetus	イヴェイドアクト	躲闪行进	P	1	0	0	100	1	1
446	Quick Guard	クイックガード	迅速格挡	P	1	0	0	100	1	1
447	Heavy Guard	ヘヴィガード	沉着格挡	P	1	0	0	100	1	1
448	Enduring Guard	エンデュランスガード	坚毅格挡	P	2	0	0	100	1	1
449	Cavalry Guard	キャバルリーガード	骑兵格挡	P	1	0	0	100	1	1
450	Aerial Guard	エアリアルガード	天空格挡	P	1	0	0	100	1	1
451	Bestral Guard	ビーストガード	野兽格挡	P	1	0	0	100	1	1
452	Noble Guard	ノーブルガード	崇高格挡	P	1	0	0	100	1	1
453	Royal Guard	ロイヤルガード	皇家格挡	P	1	0	0	100	1	1
454	Vengeful Guard	リベンジガード	复仇格挡	P	1	0	0	100	1	1
455	Holy Guard	ホーリーガード	神圣格挡	P	1	0	0	100	1	1
456	Diurnal Guard	ダイアーナルガード	昼日格挡	P	1	0	0	100	1	1
457	Nocturnal Guard	ノクターナルガード	暗夜格挡	P	1	0	0	100	1	1
458	Undead Wall	アンデッドウォール	不死之墙	P	1	0	0	100	1	0
459	Invincible	インビンシブル	无可撼动	P	2	0	0	100	1	0
460	Evade	イヴェイド	躲闪	P	1	0	0	100	1	0
461	Phantom Step	ファントムステップ	幻象微步	P	2	0	0	100	1	0
462	Dynamic Glide	ダイナミックライド	骑术	P	2	0	0	100	1	0
463	Nocturnal Evade	ナイトイヴェイド	月下玲珑	P	1	0	0	100	1	0
464	Dark Step	ダークステップ	暗黑微步	P	1	0	0	100	1	0
465	Gryphon Glide	グリフォングライド	狮鹫破空	P	2	0	0	100	1	0
466	Deflect	ディフレクト	扭转	P	1	0	0	100	1	0
467	Parry	パリィ	拨挡	P	1	0	0	100	1	0
468	Magick Conversion	　マジックコンバート	魔法转换	P	1	0	0	100	1	0
