# ID	名称（英文，缺失时回退日文）	名称（日文）	名称（简体中文，来源：v1.0.5 中文资源）
0		なし	无
872		ホロニアス	赫罗尼亚斯
873		アーマリア	阿玛利亚
874		シブリアン	斯比安
875		デジレ	德西雷
876		ロスヴィータ	罗斯维塔
877		ジビラ	施比拉
878		エアルベス	阿尔卑斯
879		トロイラ	特洛伊拉
880		カルプ	卡普
881		デュバル	杜瓦尔
882		カルクス	卡尔库斯
883		アウリス	奥利斯
884		ブローデル	布罗代尔
885		ジェラール	热拉尔
886		アレネ	阿雷纳
887		ウヴィロ	乌维略
888		ヤパンキ	亚邦基
889		アドリアン	阿德里安
890		モイタ	莫伊塔
891		ハーリチ	哈利奇
892		ロカ	罗卡
893		パブロ	巴勃罗
894		ブリス	布利斯
895		スヴェン	斯韦恩
896		クルト	库尔特
897		スタートマン	斯塔特曼
898		モナーク	莫纳克
899		ラーレ	拉蕾
900		コスタ	科斯塔
901		アーデルハイト	阿德海德
902		ギビッヒ	吉比希
903		フランツ	弗兰兹
904		インゴベルト	因哥贝尔特
905		フンベルト	亨伯特
906		ゲプハルト	格布哈德
907		ジーノ	吉诺
908		ハルトヴィヒ	哈尔特维希
909		アヤックス	阿贾克斯
910		リヒフリート	利希弗里德
911		オリヴァー	奥利弗
912		オイゲン	欧根
913		ダグマル	达格玛
914		ギズバルト	吉茨瓦尔特
915		クリスティアン	克里斯蒂安
916		ギッタ	吉塔
917		ホラーツ	赫拉茨
918		イェニー	杨妮
919		ベアトリクス	贝娅特丽克丝
920		エルフリーデ	埃尔弗里德
921		アグリッピナ	阿格里皮娜
922		シドニア	希德尼娅
923		アレクサンドラ	亚历山德拉
924		コルネリア	科内利娅
925		ケヴィン	凯文
926		ジャコモ	贾科莫
927		グリゼルディス	格里塞尔迪斯
928		デリア	迪莉娅
929		ベルトルト	贝特霍尔德
930		アンゲルス	安杰勒斯
931		ヘートヴィヒ	海德薇
932		エーバーハルテ	埃伯哈特
933		ハンジ	汉西
934		ヘルヴィッヒ	赫尔维希
935		バルバラ	芭芭拉
936		メラニー	梅兰妮
937		ヨアヒム	约阿希姆
938		グンドベルト	贡德贝尔特
939		クラウス	克劳斯
940		ハンネマン	汉尼曼
941		ゲルハルト	格哈德
942		エンゲルベルト	恩格尔贝特
943		カサンドラ	卡桑德拉
944		ゲオルギーネ	格奥尔基涅
945		アマルベルガ	阿玛贝加
946		フレーデグンデ	弗蕾德贡德
947		テオドア	西奥多
948		バプティスト	巴普蒂斯特
949		アドルフ	阿道夫
950		レーベレヒト	莱布雷希特
951		マンフレート	曼弗雷德
952		マルグリット	玛格丽特
953		レギナルト	雷吉纳德
954		フリーデグント	弗里德贡特
955		フリーデリーケ	弗蕾德里克
956		バルドゥイン	鲍杜因
957		イザーク	伊扎克
958		ベルンハルト	伯恩哈德
959		ラウラ	劳拉
960		ダグヴィン	达格文
961		ツェツィーリア	塞西莉亚
962		ウルフィラス	乌尔菲拉斯
963		ハンナ	汉娜
964		ヘルミーネ	赫尔敏
965		ブリギッタ	布里吉塔
966		グードルーン	古德伦
967		グスタフ	古斯塔夫
968		ナディーネ	娜丁
969		オクタヴィア	奥克塔维亚
970		グレゴール	格雷戈尔
971		マルコルフ	马科夫
972		クリスタ	克里斯塔
973		カレン	卡莲
974		ユーリエ	尤莉耶
975		エディタ	爱狄塔
976		クラウディア	克劳迪娅
977		エメレンツィア	埃梅莲茨
978		ガリブラント	加里布兰特
979		フリードゥルフ	弗里多尔夫
980		ギーゼラ	吉塞拉
981		オイドクシア	欧多西亚
982		ハインリーケ	海茵莉凯
983		アルビーネ	阿尔比涅
984		リーゼロッテ	莉塞洛特
985		ケートヒェン	凯特亨
986		ヴォルフガング	沃尔夫冈
987		ディートリンデ	狄特琳德
988		フリーデル	弗里德尔
989		ロベルティーネ	罗贝蒂
990		アンゼルム	安塞尔姆
991		オトムント	奥特蒙德
992		アロイジウス	阿洛伊修斯
993		ディートムント	迪特蒙德
994		コンスタンツ	康斯坦茨
995		イェルマイン	耶尔曼
996		アデリナ	阿德琳娜
997		ライマール	莱马尔
998		ウダルフリート	乌达尔弗里德
999		ヨハン	约翰
1000		オルトヴィン	奥尔特文
1001		エッカルト	埃卡特
1002		レティーツィア	莱迪兹
1003		マルクス	马尔克斯
1004		イルムガルト	伊姆加德
1005		エルヴィーネ	埃尔维涅
1006		アルベロ	阿尔贝罗
1007		ゲオルグ	耶奥格
1008		イドゥベルガ	伊杜贝加
1009		ジェラルド	杰拉德
1010		ハイデマリー	海德玛丽
1011		マックス	马克斯
1012		グンディロ	贡迪罗
1013		マルシャルク	马夏尔克
1014		アグナール	阿葛纳尔
1015		レオンハルト	莱昂哈特
1016		グントラム	贡特拉姆
1017		ライムント	雷蒙德
1018		ユーディト	尤蒂特
1019		アンネゲルト	安妮格雷特
1020		ギーゼルベルト	吉塞尔伯特
1021		リューディア	吕迪亚
1022		ヨルグ	约尔格
1023		ヘンゼル	汉泽尔
1024		コルドゥラ	考杜拉
1025		マルガ	玛加
1026		フランツ	弗兰兹
1027		インゴベルト	因哥贝尔特
1028		フンベルト	亨伯特
1029		ゲプハルト	格布哈德
1030		ブルクハルト	伯克哈特
1031		リュドヴィック	卢多维克
1032		マチュ	马修
1033		エクトル	埃克托
1034		ブリュノ	布鲁诺
1035		エチエンヌ	艾蒂安
1036		スヴァンヒルド	斯凡希尔德
1037		アウジ	奥吉
1038		グンナル	贡纳尔
1039		メニヤ	梅妮雅
1040		グリームニル	格里姆尼尔
1041		アルフォンソ	阿方索
1042		サンチョ	桑丘
1043		スサナ	苏珊娜
1044		パオラ	保拉
1045		ルイサ	露易萨
1046		パーシー	珀西
1047		ライザ	莱莎
1048		ダンカン	邓肯
1049		カレリア	卡蕾莉亚
1050		アイーダ	阿伊达
1051		オディロン	奥迪隆
1052		トマ	托马
1053		ワルテール	瓦尔特
1054		エンリケ	安立奎
1055		プロスペル	普罗斯佩
1056		イズン	伊登
1057		エイナル	埃纳尔
1058		ソルヴィ	索尔维
1059		ナターシャ	娜塔莎
1060		ガイ	盖伊
1061		ヴィルジール	维吉尔
1062		モリス	莫里斯
1063		ロベール	罗贝尔
1064		オドレイ	奥黛丽
1065		シャンタル	尚塔尔
1066		バルバラ	芭芭拉
1067		メラニー	梅兰妮
1068		ヨアヒム	约阿希姆
1069		グンドベルト	贡德贝尔特
1070		ウラカ	乌拉卡
1071		オリビア	奥莉维亚
1072		スフィア	斯菲娅
1073		サイモン	赛门
1074		ニーシャ	妮莎
1075		セドリック	塞德里克
1076		エスメラルダ	艾丝美拉达
1077		ダーグル	达格尔
1078		ピフラ	皮拉
1079		ぺぺ	佩佩
1080		ナタリア	娜塔莉亚
1081		アントワネット	安托瓦内特
1082		ギョーム	纪尧姆
1083		クリステル	克里斯蒂尔
1084		ジュリー	朱莉
1085		ズマナ	祖马纳
1086		オッドルーン	奥德伦
1087		ギューキ	鸠齐
1088		ファンナル	凡纳尔
1089		ミレイア	米雷亚
1090		リーヴェ	里夫
1091		フアナ	胡安娜
1092		ミカエラ	米凯拉
1093		エミール	埃米尔
1094		セルジュ	塞尔日
1095		タマラ	塔玛拉
1096		プルート	普卢托
1097		ガウルテリオ	加尔泰里奥
1098		ホアキン	杰昆
1099		ドルフォス	多尔弗斯
1100		ペトローナ	彼得罗娜
1101		ハンナ	汉娜
1102		ヘルミーネ	赫尔敏
1103		ブリギッタ	布里吉塔
1104		グードルーン	古德伦
1105		ライオス	莱奥斯
1106		グスタフ	古斯塔夫
1107		ナディーネ	娜丁
1108		オクタヴィア	奥克塔维亚
1109		グレゴール	格雷戈尔
1110		マーク	马克
1111		シャルロット	夏洛特
1112		レイチェル	瑞秋
1113		ネリー	娜丽
1114		ダグラス	道格拉斯
1115		ルイス	露易丝
1116		ステファン	斯蒂芬
1117		フロリーア	芙罗兰
1118		コレット	科莱特
1119		リゼット	莉泽特
1120		フェニヤ	芬妮雅
1121		ガンドアールヴ	冈多阿尔弗
1122		フラプティンナ	芙拉普蒂娜
1123		ラクナル	拉克纳尔
1124		ボーヴィ	博韦
1125		オレグ	奥列格
1126		ディエゴ	迪亚哥
1127		アルバロ	阿尔瓦罗
1128		プラシド	普拉西多
1129		マイテ	玫特
1130		チャベリ	查蓓莉
1131		トーマス	托马斯
1132		ウォルト	沃尔特
1133		ウォーレン	沃伦
1134		キャロル	卡洛尔
1135		ベス	蓓斯
1136		アデリナ	阿德琳娜
1137		ライマール	莱马尔
1138		ウダルフリート	乌达尔弗里德
1139		ヨハン	约翰
1140		ゲラルド	盖拉德
1141		ディミトリ	迪米特里
1142		ヴァレリアン	瓦勒里安
1143		ジョサント	乔姗特
1144		テレサ	特蕾莎
1145		イザベル	伊莎贝尔
1146		ビアンカ	比安卡
1147		フリスト	荷瑞丝特
1148		ヘイズレク	海茨雷克
1149		イラリオ	伊拉里奥
1150		カルヴィン	加尔文
1151		ステラ	史黛拉
1152		ビビアナ	毕碧安娜
1153		アンジェリカ	安洁莉卡
1154		ノーレス	诺雷斯
1155		メスト	梅苏特
1156		エドガー	埃德加
1157		ジーン	吉恩
1158		イネス	伊涅斯
1159		チャールズ	查尔斯
1160		キュール	秋儿
1161		グリフィス	格里菲斯
1162		リチャード	理查德
1163		ヴィクター	维克多
1164		ヘンリエッタ	亨利埃塔
1165		サビーネ	萨宾妮
1166		アンリ	亨利
1167		サーガ	萨迦
1168		マウロ	毛罗
1169		ニコラス	尼古拉斯
1170		ヨゼフィーネ	约瑟芬
1171		サジェ	萨杰
1172		カクタラ	卡库塔拉
1173		スニプ	斯奈普
1174		ログ	洛格
1175		グレトン	格雷顿
1176		ビシー	维希
1177		ウォルク	沃尔克
1178		ウィバー	韦弗
1179		フェルド	费尔德
1180		フェロド	菲罗多
1181		エンドマン	恩德曼
1182		アーマリア	阿玛利亚
1183
